name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
"The Cistercian(?) parent manuscript was owned by Arnold Mettler, St Gall; acquired by Otto F. Ege in 1948 and dismembered; some leaves were no. 2 in one of his portfolios, these and others are now widely scattered",former owner,,,,,
"The Dominican convent of Poissy, on the Seine, near Paris, probably there by c. 1360 and certainly at Poissy by the late fifteenth century; Tregaskis cat. 466 (June 1900), no. 489, cat. 472 (September 1900), no. 601, and cat. 479 (December 1900), no. 623; William Harris Arnold (1854-1924), with his bookplate; his sale, Anderson, New York, 10 November 1924, lot 601; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"The Dominican convent of Sankt Katharina in Nuremberg (founded 1296, suppressed 1803), with their contemporary inscription inside the upper cover, ""das puch gehort in das Closter zu Sant katharein prediger orden in Nurenberg"" (see below); Alexander Augustus Smets (1795-1862), of Savannah, GA, bought in February 1839 (signature on fol. 1r); his sale, Leavitt, New York, 25 May 1868, lot 1461; Catalogue of a Private Library, Containing an Exceedingly Valuable Collection of Fine-Art and Illustrated Books, Illuminated Manuscripts, Original Drawings, &c, &c identified in the Grolier Club copy as being the library of E. Tasker, Leavitt, New York, 3 March 1880, lot 620; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"The Earl of Hopetoun sale (London, 1889, n. 402) to Matthews. Given to the Grolier Club in 1905 by Daniel B. Fearing.",former owner,,,,,
"The Olivetan abbey of Santi Angelo e Nicolò in Villanova Sillaro, near Lodi; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"The Scuola di Purificatione della Vergine Maria e di Sancto Zenobio, in Florence (founded 1427, closed c. 1802); Charles Fairfax-Murray (1849-1919), with his booklabel; Charles William Dyson Perrins (1864-1958), with his bookplate and ticket, with numbers ‘36’ and ‘62’; his sale, Sotheby’s, 9 December 1958, lot 18, to Breslauer; his cat. 92 (1960), no. 12; Lathrop C. Harper Inc., and acquired by the Lilly Library with the Harper stock, given by Mrs. Juana Mendel in November 1967.",former owner,,,,,
"The abbey of Saint Maximin in Treir (founded c. 500, supressed 1802); Fritz Rörig (1882-1952), of Berlin, bought in Keil (where he taught 1923-35); bought from his widow in 1953 by H.P. Kraus and sold by him in January 1954 to George A. Poole; acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"The arms on fol. 1r are flanked by the initials ‘A’ and ‘M’, similar to but not precisely identical with those of Marin, of Genoa, and Marini, of Naples; Payne and Foss, their cat. May 1825, no. 83; Sir Thomas Phillipps (1792-1872), bought from Payne, his MS 4194; doubtless Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46; George A. Poole (bought from Lawrence Witten, 1955), and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"The book from which this leaf originates was in England by the 16th century as witnessed by the note scribbled upside down onto the lower margin of the verso (the lighter side of the parchment), in anglicana script: ""The power that mynos used making al lawes xi & xxvi"" (presumably in reference to the Pseudo Platonic dialogue, Minos). This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children; by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",former owner,,,,,
"The dean of Lu""kirch; Carthusians of Buxheim (cf. note on f. i verso), with ""N. 175"" in ink on f. 1 and on the spine; ""386"" also on the spine; Hugo, Graf von Waldbott-Basenheim (Munich, 20 Sept. 1883, lot 2616); Adolph Sutro (1830-1898), mayor of S. F.",former owner,,,,,
"The ducal library of Arenberg, Brussels, probably acquired by Duc Engelbert-Auguste d'Arenberg (1824-1875); one of two leaves sold by the tenth duke, Engelbert-Charles d'Arenberg (1899-1974), Hauswedell, Hamburg, Auktion 52-53, April 1953, lot 7a; bought in February 1954 by George A. Poole from W.H. Schab, New York dealer, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"The monastery of San Paolo fuori le Mura outside Rome (?) (s. XII); Giambattista Petrucci; bought of Payne and Foss by Phillipps (1792-1872), his n. 12273; acquired by UC Berkeley from Sotheby's (25 November 1969, lot 447). Formerly f2MS BX2435 C28.",former owner,,,,,
"The name ""Arrivabene"" scribbled several times on fol. 100r in a hand of c. 1500, perhaps Giovanni Pietro Arrivabene (1439-1504), humanist and bibliophile, bishop of Urbino, or a member of his family; perhaps from the Benedictine island monastery of San Giorgio Maggiore, in the Venetian Lagoon; the abate Luigi Celotti (c. 1768-c. 1846), of Venice; Celotti sale, Sotheby’s, 14 March 1825, lot 51; shelved as' VI. H.e.6', Prince Augustus Frederick, duke of Sussex (1773-1843), with his bookplate; his sale, Evans, 31 July 1844, lot 109; probably Edward Stanley (1799-1869), fourteenth earl of Derby, Prime Minister, with the Derby bookplate, and by descent to the eighteenth earl (1918-1994); his sale, Christie’s, 23 March 1954, lot 32; George A. Poole, bought from Lathrop Harper, cat. 2 (1956), no. 7, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"The verso of f. 1 (the leaf with the red letter C) bears note in a s. XVIII hand: ""Mr. John Higges's Diary 1720-1727."" Directly above this is a later note that reads: ""I bought this Diary at a sale of <?> Percy's MSS and sold it to a descendant of Higgi.""",former owner,,,,,
"This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children; by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",former owner,,,,,
"This collection of English binding fragments was given to NYU in 1884 by Homer L. Bartlett (b. 1858), who graduated in that year from NYU with a degree in Science and Civil Engineering; by 1902, he was second vice-president of the Eastern District Savings Bank.",former owner,,,,,
"Thorpe, Thomas, 1791-1851",former owner,,,,,
"Thouvin, sieur du Bouillon, lawyer, of Lassay, Maine (central France), 1717 (inscription on flyleaf signed ‘Thibault’), and by descent to Madame Villatte à Lassay; the Rev. Walter Sneyd (1809-1888), who also owned no. 78 above; his sale, Sotheby’s, 16 December 1903, lot 383; Charles William Dyson Perrins (1864–1958), who also owned no. 61 above, with his bookplate, but rejected from the collection before it was catalogued; Rudolf Busch, of Mainz; his sale, Baer, Frankfurt, 4 April 1921, lot 273; sold again among ""other properties"" at Sotheby’s, 7 February 1923, lot 568, to Quaritch; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Three prayers for one ""F.""; Henri-August Brölemann of Lyon (b. 1775); sale of Mme Etienne Mallet, Sotheby's (4 May 1926, lot 75) to Quaritch; bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Formerly 2MS BX2080 1455.",former owner,,,,,
"Traces of a library stamp on f. 1. Acquired from Robson and Kerslake (according to de Ricci) by Daniel B. Fearing of Newport, Rhode Island who gave it to the Grolier Club in 1908.",former owner,,,,,
"Traiecto, Petrus de,",scribe.,,,,,
"Ungelter, Theodoricus,",scribe.,,,,,
"Unidentified arms on f.1; two bookplates, ""Ex Bibliotheca K. Haiser Mns. Nro. 10."" and ""Ex Libris Theodor Freiherr v. Cramer-Klett in Hohen-Aschau""; Bernard M. Rosenthal cat.?,item ?",former owner,,,,,
"Unknown. Apparently purchased from Phillip Pirages, November 1987. From the collection of Karen Keel Gould (1946-2012) Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
Unknown. From the collection of Karen Keel Gould (1946-2012) Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,former owner,,,,,
Unknown. From the collection of Karen Keel Gould (1946-2012). Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,former owner,,,,,
Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,former owner,,,,,
Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in wife's memory,former owner,,,,,
Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in wife's memory.,former owner,,,,,
"Unknown. Possibly to be identified with purchase from Phillip Pirages, November 1987. From the collection of Karen Keel Gould (1946-2012) Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
"Unknown. Purchased by Karen Gould (1946-2012) from Pageant Book and Print Shop, New York. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
Unknown. Purchased by Karen Gould (1946-2012). Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,former owner,,,,,
"Used for monastic readings, with marginal letters indicating prime, terce, and sext",former owner,,,,,
"V. M. Voynich (1865-1930), Polish revolutionary and bookseller, who gave it to C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Verona, Biblioteca Comunale, ms. 3034, written in scriptorium of Archdeacon Pacificus; survived as part of a binding repair; acquired in 1991 from P. Pirages. Related item (codex with repairs from same manuscript): ferial Psalter and Hymnal from the Abbey of San Zeno Maggiore, Yale MS 744.",former owner,,,,,
"W. Creswell; J. Mead Faulkner (1913); gift of James K. Moffitt to the Bancroft Library UC Berkeley 1956. Previous call numbers MAR 28, 2MS BS75 1350.",former owner,,,,,
"Wake, Henry T.",former owner,,,,,
Walerand ap Adam,author,,,,,
"Walker, T. Shadford",former owner,,,,,
Walter Raglan Hubbard (1890),former owner,,,,,
"White, Henry",former owner,,,,,
"William Bragge (1823-1884); his sale, Sotheby’s, 7 June 1876, lot 237, to Quaritch (his cat. 31, June 1876, no. 87); John Ruskin (1819-1900), inscribed by him to Lawrence Hilliard, Brantwood, 25 January 1881; William K. Bixby (1857-1931); his sale, Anderson, New York, 29 March 1916, lot 743, to Gabriel Wells; bought by C. L. Ricketts in 1924 from the estate of the bookseller George D. Smith (d. 1920), and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"William Young Ottley (1771-1836) probably; John Rushout, second Baron Northwick (1770-1859); Northwick Park sale, Sotheby’s, 21 May 1928, part of lot 14; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Williams, Theodore, 1785-1875",former owner,,,,,
"Wright, Harrison, Esq.",former owner,,,,,
"Wright, John",former owner,,,,,
"Written by Iodocus Grebel at Lucerne in 1617. Front pastedown bears a note in pencil: ""bought at Lucerne 21 June 1884;"" and a book seller or dealer description labeled ""110."" Given to GTS by Guild of Scholars in 1948, per typed card and bookplate.",former owner,,,,,
"Written for Giovanni Colonna (1456-1508) or a member of his family (see below); William Bragge 1823-1884); probably no. 63 in Burlington Fine Arts Club 1874, p. 13, lent by Bragge; his sale, Sotheby’s, 7 June 1876, lot 474; Quaritch cat. 31 (June 1876), no. 171, and Quaritch, General Catalogue (1877), no.18381; Edward Quaile (d. 1900); his sale, Sotheby’s, 10 May 1901, lot 223, to Leighton; J. Martini, cat. 17 (1921), no. 17, and cat. 18 (1922), no. 14, at $1,100; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Written for the Royal Manors in Staffordshire (16th century). Previous call numbers Ac 541, 2MS HF5616 E5S2.",former owner,,,,,
"Written in 1491 (dated on fol. 148r) probably for Margaretha van Cleyburg (d. 1537), wife and later widow of Boudewijn Willemszoon van Drenckwaert (c. 1468-1496), bailiff and steward of Voorne; and by descent to her daughter, Catherina van Drenckwaert (wife of Jan Pauwelszoon van der Dycke), granddaughter, Margareta van der Dycke (wife of Jan van den Steen, burgomaster of Bergen-op-Zoom), and in 1578 great-granddaughter, Catharina ven den Steen (wife of Jan de Langue, secretary of Brielle), all recorded inside the upper cover; A. D. Schinkel (1784-1864), of The Hague, printer; his sale, The Hague, 21 November 1864, lot 3; William Bragge (1823–1884); probably no. 54 in Burlington Fine Arts Club 1874, p. 11, lent by Bragge; his sale, Sotheby’s, 7 June 1876, lot 221, to Ellis; Col. Eustace Balfour (1854-1911, younger brother of Lord Balfour, prime minister 1902-05); sale at Sotheby’s, 28 July 1919, lot 99a; C. L. Ricketts, bought from Voynich in 1921; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Written in 1505 for Giovanni Pietro Visconti (1478-1515), provost of Milan cathedral (see below); Oliver Rogers Barrett (1873-1950), Chicago attorney, who gave it to C. L. Ricketts in 1918; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Written in Flanders in the second quarter of the fifteenth century. A clipping accompanying the book from the GTS(?) Bulletin June 1968 says that Dr. John Plummer of the Pierpont Morgan Library identified the book as being from the School of the Master of the Golden Scrolls, active in Belgium, probably Bruges in the decade 1420-30, and suggests the addition of Saint Rupert in the calendar connects the book to Salzburg. Purchased by General Theological Seminary in 1968. Inhouse call number: LIT 1200 1420-1430.",former owner,,,,,
"Written in Flanders in the third quarter of the fifteenth century for use in England. Early ownership by the family whose coat of arms appears on f. 23v, possibly the Barons Lovell as reported by the HMC and De Ricci; owned later by the Bowntyene family, possibly specifically Johane Bowntyene in the early sixteenth century, as reported by De Ricci; owned later (at least 1540-1568) by Anthony Bustard of Adderbury, near Oxford; the HMC report of 1885 records it among the manuscripts of Captain Josceline F. Bagot of Levens Hall; source and date of acquisition by General Theological Seminary unknown.",former owner,,,,,
"Written in France (possibly northern?) s. XIV (early in the century according to De Ricci). Obtained by General Theological Seminary in 1912 from Joseph (Giuseppe) Martini (1870-1944), as reported by De Ricci.",former owner,,,,,
Written in France in the fourth quarter of the fifteenth century. The ownership portrait on f. 29 and the feminine forms in several prayers indicate that the book was made for a woman.,former owner,,,,,
Written in Spain in the sixteenth century. A typed description of unknown origin attached to front pastedown suggests that the manuscript was written by an Italian scribe about 1500.,former owner,,,,,
"Written in the third quarter of the fifteenth century in France for use in England. Apparently in the hands of English Protestants at some point in the s. XVI(2) (see notes on calendar). Obtained by General Theological Seminary from P.M. Barnard, as reported by De Ricci.",former owner,,,,,
"Wylie, Theodore W. J. 1818-1897,",former owner.,,,,,
"Zandawaysitī, ʻAlī ibn Yaḥyá, d. 922.",author,,,,,
"Zaynī, Muḥammad ibn Maḥmūd, fl. 1613.",author,,,,,
"Zāhid, Aḥmad ibn Muḥammad, -1416.",author,,http://id.loc.gov/authorities/names/n2012000135,,,
"Zopello, Michele.",author,,,,,
"Z̤amāqavī, Aḥmad Rifʻat ibn al-Ḥājj Muḥammad Fākhir,",former owner.,ضماقوى، احمد رفعت بن الحاج محمد فاخر.,,,,
"de Montefegatesio, Joachim Guerrinus",former owner,,,,,
"Étienne de Loypeau, bishop of Luçon 1388-1407; Louis d’Harcourt, patriarch of Jerusalem and bishop of Bayeux 1460-79, who on 12 April 1474 gave it to the cathedral of Bayeux; recorded in the inventory of the cathedral treasury in 1476, ""Premièrement, ung excellent missel, portant tout l’office pontifical . . . (Delisle 1887, p. 434); leaves (including those here) were lost by at least 1887; these leaves bought by C. L. Ricketts in Paris from Lemallier, 1907, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"ʻAbbāsī, Ḥājī ʻIzz al-Dīn Shīr Bīk,",former owner,عباسي، حاجي عاز الدين شير بيك.,,,,
ʻAbd al-Ḍayf Mūsá ibn Walī ibn Ḥasan.,author,عبد الضيف موسى بن ولي بن حسن.,,,,
"ʻAbd al-Laṭīf Qalandar Ibn ʻAbd Allāh ibn Khaz̤r Sabzavārī,",scribe.,عبد اللطیف قلندر ابن عبد الله بن خضر سبزوارى.,,,,
"ʻAjamī, Kurdī Sayyidī Maḥmūd.",author,عجمي، كردي سيدي محمود.,,,,
"ʻAlī ibn al-Dhahab, Shaykh,",scribe.,علي بن الذهب، شيخ.,,,,
"ʻAshāfī, Ḥāfiẓ Muṣṭafá al-Nāfawī,",scribe.,عشافي، حافظ مصطفى النافوي.,,,,
"ʻAṭṭār, Muḥammad Amīn,",former owner.,عطار، محمد امين.,,,,
"ʻAṭṭār, Muḥammad ibn Ḥusayn, 1764-1827 or 1828.",author,عطار، محمد بن حسين، 1764-1827 or 1828,,,,
"ʻAymakī, Abū Bakr ibn Muʻāwiyah.",author,,,,,
